# year  Observed GMSL [lower]  Observed GMSL [mean]  Observed GMSL [upper]
1900  -203.5572666  -173.2614421  -141.002807
1901  -201.0185091  -168.8016753  -135.8976091
1902  -212.0740442  -180.389967  -148.213824
1903  -202.6975639  -170.2678322  -138.9305182
1904  -200.1670151  -168.7200709  -137.4501224
1905  -192.1312551  -160.9814287  -130.3514508
1906  -205.9264836  -175.6052663  -144.4893757
1907  -200.8360812  -169.2692225  -139.9613107
1908  -214.9370657  -184.1125088  -152.5978717
1909  -208.9868798  -178.7259514  -146.4988601
1910  -207.385068  -177.1214733  -145.5295388
1911  -191.8108158  -161.7185676  -131.3730538
1912  -182.9197737  -154.0655408  -124.0754255
1913  -176.3063066  -146.4479  -117.0183157
1914  -173.5110312  -144.456943  -115.3748695
1915  -169.1589509  -140.9473325  -111.3261012
1916  -195.3119609  -167.2579572  -138.2313982
1917  -185.0263806  -157.3991469  -128.19105
1918  -180.9585124  -153.3645386  -125.1535959
1919  -175.2847929  -146.9235373  -119.0321395
1920  -164.7738701  -138.2963235  -110.4518786
1921  -165.4742562  -138.6246366  -111.9796314
1922  -167.3019403  -140.1698192  -112.6681142
1923  -182.6383038  -154.9730606  -126.2868342
1924  -174.9770255  -149.7155083  -123.5410128
1925  -180.6090394  -154.365165  -127.7419207
1926  -179.1875015  -155.0322035  -129.5458648
1927  -172.1679451  -148.160054  -123.5259412
1928  -175.2893875  -150.637487  -125.2716354
1929  -175.7120653  -151.3293956  -127.633752
1930  -170.0059865  -146.430963  -122.1276063
1931  -170.2371986  -146.1100856  -121.6057183
1932  -155.392679  -131.7929535  -107.8000564
1933  -162.1464607  -137.9301246  -113.8930589
1934  -173.8665265  -151.1301009  -127.3955137
1935  -162.8529302  -138.7756249  -116.2140601
1936  -167.8972222  -144.5950596  -122.1015514
1937  -158.2683406  -135.3654868  -113.5315749
1938  -147.7586808  -125.8680591  -103.6665614
1939  -142.7823348  -121.6888058  -99.95375982
1940  -153.9127042  -132.3584223  -111.5368348
1941  -138.0897844  -117.0144939  -96.12569037
1942  -136.6612394  -116.8616269  -96.27787873
1943  -130.7931105  -110.3382159  -90.35657684
1944  -138.6862678  -118.8720806  -99.57439996
1945  -138.5608376  -119.1719927  -99.30499182
1946  -123.3203658  -104.4705077  -84.85604179
1947  -131.309892  -112.5419069  -94.08806307
1948  -123.5531467  -104.6074737  -85.92068864
1949  -110.654098  -92.32075069  -74.11493849
1950  -114.806885  -96.18672962  -78.17360082
1951  -103.9940083  -85.61613876  -66.54137815
1952  -103.7241699  -85.57809073  -67.32684402
1953  -97.88902624  -79.77114947  -61.66613031
1954  -107.0383881  -89.93808972  -73.00113093
1955  -104.5988711  -86.6263691  -69.71235162
1956  -116.3831185  -100.0402361  -83.82143131
1957  -101.2466927  -83.94307501  -66.84289244
1958  -100.4948087  -85.72778533  -71.64176715
1959  -97.00330105  -82.73126618  -68.63578665
1960  -90.80141926  -76.86832293  -63.22493714
1961  -90.28999311  -77.21473696  -63.67129737
1962  -91.65410056  -79.11187959  -66.30449569
1963  -91.87236007  -78.69134145  -65.39838561
1964  -95.92844533  -82.75201869  -69.26267781
1965  -89.74098566  -76.65542732  -63.67535759
1966  -95.52306037  -82.74987345  -69.90912378
1967  -95.26913414  -82.96694712  -70.34163614
1968  -97.08644404  -84.9956835  -72.75970762
1969  -96.82773707  -84.67996661  -72.35755802
1970  -97.03364297  -84.90437264  -72.34432186
1971  -84.74744954  -72.76139658  -60.05934522
1972  -90.35550911  -78.48801423  -65.81922464
1973  -96.02546545  -83.24536769  -70.75460401
1974  -89.27706635  -76.77890442  -64.23583424
1975  -79.817352  -68.12081057  -56.15923419
1976  -89.15255434  -78.09582879  -66.69364354
1977  -84.8394196  -73.46108321  -61.82400567
1978  -88.81530115  -78.1371043  -66.72701705
1979  -79.92071205  -68.25420755  -56.95934954
1980  -81.51419794  -70.5558024  -59.00001891
1981  -64.29263887  -53.37497207  -42.18876979
1982  -72.42105315  -61.62583297  -50.67751319
1983  -69.04719167  -58.23164474  -47.13788917
1984  -69.40580726  -58.55205396  -47.89228771
1985  -74.01120145  -64.17741298  -53.8626705
1986  -66.79085446  -56.87626864  -46.92920302
1987  -69.60035601  -59.44401057  -49.21628592
1988  -72.6995706  -62.06679569  -51.68834986
1989  -64.49719995  -54.93921791  -45.54904033
1990  -61.66597836  -51.67674674  -41.22209517
1991  -72.96253168  -59.24024291  -45.19119507
1992  -70.5075482  -59.8817472  -49.07295372
1993  -68.81975311  -58.91027565  -48.72273171
1994  -68.88728355  -56.07227475  -42.54105446
1995  -60.33863533  -45.17002052  -29.78386204
1996  -58.4732717  -49.75505329  -40.84936384
1997  -47.38139615  -36.20533469  -25.25400962
1998  -45.74108386  -35.75892749  -25.90375571
1999  -48.29503821  -32.66100932  -17.51744405
2000  -39.16233661  -30.49194625  -22.05799452
2001  -38.03561606  -28.50669968  -19.14060408
2002  -26.06235699  -18.69649746  -10.85650964
2003  -22.65466647  -14.90810069  -7.555435178
2004  -36.81041376  -29.08900684  -21.27952077
2005  -30.62475994  -22.82930131  -15.19644871
2006  -18.84850282  -11.06644035  -3.251768871
2007  -23.90481854  -16.89562925  -9.36261259
2008  -17.19598715  -9.371227001  -2.224958689
2009  -14.81401971  -7.324730575  -0.138892482
2010  -11.33282717  -2.866128358  5.728720621
2011  -14.19403313  -7.194661294  0.137572283
2012  4.005727976  12.19746486  20.13864003
2013  -2.195721954  6.370173885  14.94265205
2014  3.502923674  11.86893583  20.2580647
2015  9.216258557  17.86952067  26.59174652
2016  15.51055  23.94186227  32.67298852
2017  22.31229181  32.35804784  42.67341398
2018  24.9935631  35.63571776  46.21376163
